date,T moy,T min,T max,Hum (%),,,,,,
20230101,12.3,8.1,16.6,70,,,,,,
20230102,11.6,8.5,15.7,63.5,,,,,,
20230103,8.5,7.6,9.1,91.3,,,,,,
20230104,7.3,2.6,9.7,86,,,,,,
20230105,8.1,3.8,11.8,90.1,,,,,,
20230106,7.5,5.6,8.6,88.9,,,,,,
20230107,8.4,3.4,12,75.2,,,,,,
20230108,8.3,6.8,10,86.3,,,,,,
20230109,6.1,4.2,9.4,71.7,,,,,,
20230110,5.3,1,7.7,71.3,,,,,,
20230111,5.4,2.2,7.8,83.2,,,,,,
20230112,5.9,2.1,8.7,78.1,,,,,,
20230113,7.4,4.7,9.9,77.2,,,,,,
20230114,6.8,2.3,10.1,67.6,,,,,,
20230115,5.3,0.6,9.3,80.7,,,,,,
20230116,3,0.5,6,82,,,,,,
20230117,1.8,-0.1,4.3,88,,,,,,
20230118,1,-2.3,2.7,81,,,,,,
20230119,-2.1,-6.1,1.6,77.5,,,,,,
20230120,-2.4,-5.8,0.3,78.6,,,,,,
20230121,-1.1,-4.7,1.2,71.8,,,,,,
20230122,0.1,-0.9,1.1,63.7,,,,,,
20230123,0.4,-0.2,1.4,65.3,,,,,,
20230124,1.1,-0.8,2.5,71.8,,,,,,
20230125,1.3,0.5,2,78.5,,,,,,
20230126,0.8,0.1,1.5,75.4,,,,,,
20230127,0.5,0,0.9,69.1,,,,,,
20230128,1.1,0.3,1.7,64.7,,,,,,
20230129,0.8,-1.7,1.9,66.5,,,,,,
20230130,-0.1,-3.9,4.5,73.1,,,,,,
20230131,1,-6.2,6.7,77.2,,,,,,
20230201,2.8,-3.5,8.6,70.6,,,,,,
20230202,3.8,-2,9.5,69.7,,,,,,
20230203,2.7,-2.3,8.9,76.1,,,,,,
20230204,5.1,-2.3,11.4,78.4,,,,,,
20230205,3.8,-2,7.7,75.5,,,,,,
20230206,3.7,1.2,4.4,65.5,,,,,,
20230207,1.5,-1,5.2,63.9,,,,,,
20230208,0.1,-4.6,3.8,72.1,,,,,,
20230209,-1.1,-6.3,5.7,78.1,,,,,,
20230210,-0.6,-6,6.2,74.3,,,,,,
20230211,0,-5.8,7.7,73.7,,,,,,
20230212,1.5,-4.4,9.2,72.3,,,,,,
20230213,1.7,-3.8,9,80.5,,,,,,
20230214,2.3,-3.7,10.3,79.1,,,,,,
20230215,2.9,-3.3,11.8,76.9,,,,,,
20230216,3.9,-3.7,13.7,70.8,,,,,,
20230217,7.4,0.7,16.4,63.8,,,,,,
20230218,8.1,1.8,16.6,76.7,,,,,,
20230219,7.5,0.9,16.3,74.5,,,,,,
20230220,6,-0.1,13.6,75.4,,,,,,
20230221,5.8,-0.5,14.1,76.8,,,,,,
20230222,6.8,0.3,11.8,84.6,,,,,,
20230223,9.5,6.5,14.2,79.3,,,,,,
20230224,9.3,2.4,16.4,72.1,,,,,,
20230225,7.6,4.1,12.2,66.1,,,,,,
20230226,1.4,0.3,4,50.2,,,,,,
20230227,1.3,-0.4,4.5,58.4,,,,,,
20230228,1.9,0.1,5.2,64.5,,,,,,
20230301,1.7,0.5,3.2,66.1,,,,,,
20230302,3.1,-1.6,7.3,67.6,,,,,,
20230303,1.4,-3.4,4.9,81.4,,,,,,
20230304,5.4,-0.1,11.6,70.1,,,,,,
20230305,2.2,-3.1,8.3,75.3,,,,,,
20230306,3.5,-3.3,11.9,63.3,,,,,,
20230307,3.4,-3.5,10.3,70.7,,,,,,
20230308,6.8,-0.9,10.8,85.9,,,,,,
20230309,12.5,8.4,17.4,57,,,,,,
20230310,8.8,5,11.5,72.9,,,,,,
20230311,5.8,4.8,7.5,90.6,,,,,,
20230312,10.2,6.3,15.2,75.1,,,,,,
20230313,13.8,7.8,21.2,62.2,,,,,,
20230314,7.8,4.1,10.2,76.5,,,,,,
20230315,5.2,-0.4,10.6,58.7,,,,,,
20230316,4.9,-1.3,12.8,65.7,,,,,,
20230317,9.6,0.4,18.9,58,,,,,,
20230318,10.7,4.1,16.1,52.2,,,,,,
20230319,10.1,6.7,13.4,75.9,,,,,,
20230320,8.5,3.1,14.2,74.6,,,,,,
20230321,9.7,1.9,17.6,68,,,,,,
20230322,12.5,2.7,20.7,55.4,,,,,,
20230323,14.7,12.8,17.2,54.7,,,,,,
20230324,11.7,8.1,14.6,75.5,,,,,,
20230325,10.4,7.7,13.6,63.7,,,,,,
20230326,9.1,6,13.3,76.6,,,,,,
20230327,6.1,2.9,8.5,64.4,,,,,,
20230328,5.8,-1,10.2,63.3,,,,,,
20230329,12.5,7.5,18.8,56.3,,,,,,
20230330,13.8,9.7,18.2,61,,,,,,
20230331,12.4,8.1,16.5,63.8,,,,,,
20230401,8,4.4,12.8,79,,,,,,
20230402,7.3,4.5,9.5,87.3,,,,,,
20230403,7.1,3.7,10.3,68.3,,,,,,
20230404,5.3,1.4,10.1,48,,,,,,
20230405,5.8,-0.2,11.4,48.5,,,,,,
20230406,7.3,-1.3,14.2,52.8,,,,,,
20230407,6.6,1.1,11.1,78.3,,,,,,
20230408,7.7,-0.2,14.8,68.6,,,,,,
20230409,8.6,1.6,15.1,67.2,,,,,,
20230410,11.2,1.4,18.4,57.5,,,,,,
20230411,11.9,9.1,14.5,68.4,,,,,,
20230412,11.1,6.9,15.4,68.7,,,,,,
20230413,6.4,1.2,11.6,67.5,,,,,,
20230414,7.3,0.3,12.9,67.4,,,,,,
20230415,8.4,5.3,11.9,80.1,,,,,,
20230416,8.5,4.4,13,77.7,,,,,,
20230417,10.5,6.8,14.5,66.9,,,,,,
20230418,11.4,6.6,17,66.2,,,,,,
20230419,10,5.2,15.5,81.2,,,,,,
20230420,7.2,5.3,8.2,82.5,,,,,,
20230421,8.5,5.3,11.9,81.6,,,,,,
20230422,10,4.3,14.6,84.9,,,,,,
20230423,12.7,9.7,18.6,75.8,,,,,,
20230424,11.9,9.1,15.8,59.8,,,,,,
20230425,9.8,3.7,15.1,66.7,,,,,,
20230426,10.4,1.9,18.3,62.3,,,,,,
20230427,14.3,6,21.4,57.2,,,,,,
