Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Zuriko Davitashvili,ge GEO,"MF,FW",Saint-Étienne,fr Ligue 1,23-278,2001,10.7,49,4.60,25,8,9,5,2,0,6,0.56,4,0,2,0,0,0,Matches
Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,22-255,2002,8.2,19,2.32,14,1,2,1,1,0,2,0.24,2,0,0,0,0,0,Matches
Zion Suzuki,jp JPN,GK,Parma,it Serie A,22-090,2002,10.8,1,0.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Zinédine Ould Khaled,fr FRA,MF,Angers,fr Ligue 1,24-310,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Zinedine Ferhat,dz ALG,"FW,MF",Angers,fr Ligue 1,31-263,1993,2.3,7,3.06,3,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Zeki Çelik,tr TUR,DF,Roma,it Serie A,27-276,1997,10.4,12,1.15,9,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,24-275,2000,9.2,15,1.63,8,0,3,3,1,0,4,0.44,3,0,1,0,0,0,Matches
Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,28-081,1996,4.5,8,1.80,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yvann Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,26-049,1998,3.2,4,1.26,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yvan Neyou,cm CMR,MF,Leganés,es La Liga,27-321,1997,7.8,4,0.51,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Yusuf Kabadayı,de GER,"FW,MF",Augsburg,de Bundesliga,20-291,2004,0.8,4,5.07,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yussuf Poulsen,dk DEN,"FW,MF",RB Leipzig,de Bundesliga,30-157,1994,2.2,4,1.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,34-283,1990,8.1,12,1.49,9,1,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Yunus Musah,us USA,"MF,DF",Milan,it Serie A,21-356,2002,3.3,13,3.94,9,0,2,2,0,0,1,0.30,1,0,0,0,0,0,Matches
Yunus Emre Konak,tr TUR,"MF,FW",Brentford,eng Premier League,18-314,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-052,1987,6.4,3,0.47,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yukinari Sugawara,jp JPN,DF,Southampton,eng Premier League,24-144,2000,7.4,20,2.69,15,4,1,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Youssoufa Moukoko,de GER,"FW,MF",Nice,fr Ligue 1,19-365,2004,2.0,5,2.49,4,0,0,1,0,0,1,0.50,1,0,0,0,0,0,Matches
Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,31-259,1993,5.2,8,1.54,7,0,1,0,0,0,1,0.19,1,0,0,0,0,0,Matches
Youssouf Ndayishimiye,bi BDI,"DF,MF",Nice,fr Ligue 1,26-023,1998,6.5,11,1.70,7,0,1,0,3,0,1,0.15,0,0,0,0,1,0,Matches
Youssouf Fofana,fr FRA,MF,Milan,it Serie A,25-314,1999,8.8,15,1.70,14,0,0,0,0,1,1,0.11,1,0,0,0,0,0,Matches
Youssef Maleh,ma MAR,MF,Empoli,it Serie A,26-089,1998,5.6,7,1.25,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Youri Tielemans,be BEL,MF,Aston Villa,eng Premier League,27-196,1997,10.8,44,4.07,28,13,0,2,0,1,5,0.46,3,2,0,0,0,0,Matches
Yordan Osorio,ve VEN,DF,Parma,it Serie A,30-193,1994,1.9,1,0.52,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yorbe Vertessen,be BEL,"MF,FW",Union Berlin,de Bundesliga,23-316,2001,5.6,21,3.71,13,4,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Yoram Zague,fr FRA,DF,Paris S-G,fr Ligue 1,18-188,2006,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yoann Salmier,gf GUF,DF,Le Havre,fr Ligue 1,31-364,1992,6.6,1,0.15,1,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Yoane Wissa,cd COD,FW,Brentford,eng Premier League,28-077,1996,6.3,15,2.39,12,0,1,0,2,0,3,0.48,3,0,0,0,0,0,Matches
Yllan Okou,fr FRA,DF,Hellas Verona,it Serie A,21-332,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ylber Ramadani,al ALB,MF,Lecce,it Serie A,28-221,1996,11.0,21,1.92,21,0,0,0,0,0,2,0.18,2,0,0,0,0,0,Matches
Yerson Mosquera,co COL,DF,Wolves,eng Premier League,23-201,2001,4.9,5,1.02,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yerry Mina,co COL,DF,Cagliari,it Serie A,30-057,1994,8.1,7,0.87,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Yeremi Pino,es ESP,"MF,FW",Villarreal,es La Liga,22-030,2002,4.4,15,3.45,11,0,2,1,1,0,2,0.46,2,0,0,0,0,0,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29-300,1995,6.0,7,1.17,6,0,0,0,0,1,1,0.17,1,0,0,0,0,0,Matches
Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,25-003,1999,11.0,4,0.36,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,eng Premier League,20-263,2004,1.6,3,1.89,3,0,0,0,0,0,2,1.26,2,0,0,0,0,0,Matches
Yaya Kader Fofana,ml MLI,"MF,FW",Reims,fr Ligue 1,20-160,2004,6.5,21,3.22,15,0,4,0,1,1,5,0.77,3,0,2,0,0,0,Matches
Yassine Kechta,ma MAR,"MF,FW",Le Havre,fr Ligue 1,22-268,2002,8.5,24,2.81,13,0,0,2,7,2,1,0.12,0,0,0,0,1,0,Matches
Yassin Belkhdim,fr FRA,MF,Angers,fr Ligue 1,22-279,2002,5.2,4,0.76,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Yasin Ayari,se SWE,MF,Brighton,eng Premier League,21-044,2003,5.5,20,3.66,7,5,2,2,3,1,1,0.18,1,0,0,0,0,0,Matches
Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,21-000,2003,3.8,15,3.97,12,3,0,0,0,0,2,0.53,2,0,0,0,0,0,Matches
Yarek Gasiorowski,es ESP,DF,Valencia,es La Liga,19-312,2005,3.2,3,0.94,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yannik Lührs,de GER,DF,Dortmund,de Bundesliga,21-071,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yannik Engelhardt,de GER,MF,Como,it Serie A,23-286,2001,3.1,4,1.30,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,de Bundesliga,30-251,1994,3.4,3,0.89,0,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Yann Sommer,ch SUI,GK,Inter,it Serie A,35-338,1988,12.0,4,0.33,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yann Karamoh,fr FRA,"FW,MF",Torino,it Serie A,26-134,1998,1.0,4,4.09,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yann Gboho,fr FRA,"FW,MF",Toulouse,fr Ligue 1,23-310,2001,10.4,36,3.45,21,0,9,2,4,0,2,0.19,1,0,0,1,0,0,Matches
Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23-356,2000,4.3,4,0.94,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Yankuba Minteh,gm GAM,"FW,MF",Brighton,eng Premier League,20-120,2004,4.5,15,3.33,7,2,4,1,1,0,3,0.67,1,0,1,1,0,0,Matches
Yanis Zouaoui,dz ALG,"FW,DF",Le Havre,fr Ligue 1,30-132,1994,1.8,8,4.39,3,5,0,0,0,0,1,0.55,0,1,0,0,0,0,Matches
Yanis Issoufou,fr FRA,"FW,MF",Montpellier,fr Ligue 1,18-022,2006,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yangel Herrera,ve VEN,MF,Girona,es La Liga,26-310,1998,8.9,18,2.03,13,0,1,1,2,1,1,0.11,1,0,0,0,0,0,Matches
Yan Couto,br BRA,DF,Dortmund,de Bundesliga,22-169,2002,3.0,8,2.70,8,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-090,2000,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yael Mouanga,fr FRA,DF,Montpellier,fr Ligue 1,19-119,2005,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-113,2000,4.5,23,5.12,15,7,1,0,0,0,4,0.89,1,2,1,0,0,0,Matches
Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,21-212,2003,6.8,28,4.10,23,2,0,1,2,0,3,0.44,2,0,0,1,0,0,Matches
Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29-296,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Woyo Coulibaly,fr FRA,DF,Parma,it Serie A,25-183,1999,9.3,16,1.73,15,0,1,0,0,0,2,0.22,1,0,1,0,0,0,Matches
