"","Region","Year","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+","Gender"
"1","Sub-Saharan Africa","1950","15428.4455","11826.489","10128.7315","8907.5885","7798.9825","6759.1645","5833.9075","4938.037","4135.4615","3384.5395","2704.683","2127.425","1632.3365","1204.428","796.376","436.8355","194.188","58.015","12.2945","1.777","0.1655","Male"
"2","Sub-Saharan Africa","1951","15664.124","12139.8955","10329.3065","9067.7345","7947.7415","6890.251","5952.249","5045.483","4223.9125","3461.903","2764.793","2171.826","1656.8575","1217.08","803.867","440.2955","194.053","59.1165","12.09","1.7475","0.169","Male"
"3","Sub-Saharan Africa","1952","15940.7275","12452.3285","10542.4945","9235.157","8096.8575","7023.0695","6067.901","5156.1725","4311.8485","3540.1775","2828.7575","2217.1395","1685.123","1230.2755","811.872","445.132","193.9745","59.944","11.986","1.751","0.1695","Male"
"4","Sub-Saharan Africa","1953","16287.159","12726.9545","10775.164","9405.356","8241.1885","7153.092","6179.174","5266.2255","4400.314","3619.272","2896.0605","2264.223","1716.4435","1244.289","820.275","450.6375","194.285","60.4195","12.027","1.733","0.164","Male"
"5","Sub-Saharan Africa","1954","16689.9145","12972.6855","11036.4265","9578.9955","8382.8","7282.1505","6290.146","5375.1495","4491.3115","3699.5455","2965.0075","2313.899","1750.441","1260.1675","829.1745","456.158","195.302","60.717","12.2035","1.689","0.153","Male"
"6","Sub-Saharan Africa","1955","17126.2985","13210.943","11326.232","9762.0815","8525.7","7413.884","6405.0405","5484.036","4586.0305","3781.1275","3035.0545","2365.911","1787.3515","1278.2285","838.7275","461.5375","196.9885","60.987","12.403","1.6655","0.1465","Male"
"7","Sub-Saharan Africa","1956","17594.6705","13450.289","11631.5815","9956.3005","8674.2565","7548.4145","6523.656","5592.1695","4684.893","3862.9195","3106.465","2420.641","1826.329","1298.7305","848.741","467.094","199.218","61.2625","12.5665","1.6635","0.1455","Male"
"8","Sub-Saharan Africa","1957","18059.9845","13718.2705","11934.57","10161.6045","8830.3095","7684.555","6645.0075","5698.6405","4787.3005","3944.386","3178.4955","2478.2815","1865.7755","1321.603","858.5805","472.6995","201.7605","61.5365","12.6705","1.6705","0.148","Male"
"9","Sub-Saharan Africa","1958","18520.8725","14045.58","12199.5195","10381.198","8985.482","7815.602","6764.327","5801.5025","4889.7345","4026.7545","3251.103","2537.958","1906.0535","1346.168","868.5315","478.2265","204.396","61.8685","12.716","1.6755","0.15","Male"
"10","Sub-Saharan Africa","1959","19016.958","14427.1","12439.4245","10631.71","9149.715","7950.31","6888.0085","5907.8545","4993.576","4112.854","3325.544","2599.8145","1949.393","1374.0545","880.624","484.396","207.386","62.4945","12.8195","1.7045","0.1515","Male"
"11","Sub-Saharan Africa","1960","19554.1355","14843.479","12675.5905","10915.858","9333.21","8095.1405","7020.6955","6022.603","5099.421","4202.7365","3400.59","2663.03","1995.724","1405.6375","894.9955","491.275","210.6845","63.4075","13.021","1.769","0.158","Male"
"12","Sub-Saharan Africa","1961","20122.176","15284.169","12911.127","11214.879","9529.4815","8246.5465","7154.2025","6138.4845","5201.9035","4294.2225","3474.452","2727.2905","2044.9735","1439.523","912.113","499.6345","214.9225","64.778","13.358","1.856","0.172","Male"
"13","Sub-Saharan Africa","1962","20719.8735","15732.386","13175.503","11514.877","9741.1665","8408.8995","7289.461","6255.492","5301.963","4388.1145","3548.375","2793.151","2098.0145","1475.266","932.5895","509.4765","220.1785","66.5955","13.7895","1.9435","0.186","Male"
"14","Sub-Saharan Africa","1963","21329.938","16199.1775","13502.346","11783.2165","9973.5435","8580.295","7429.0175","6376.2305","5403.087","4484.179","3624.0515","2859.712","2153.2055","1512.604","954.9485","519.5605","225.4825","68.4565","14.183","2.0145","0.1995","Male"
"15","Sub-Saharan Africa","1964","21949.785","16690.0555","13879.7265","12027.8795","10234.2415","8759.456","7572.3465","6500.44","5507.3155","4581.493","3702.9035","2927.3045","2209.6085","1551.5955","978.8175","530.1585","230.6855","70.3305","14.554","2.0995","0.2155","Male"
"16","Sub-Saharan Africa","1965","22585.4","17202.839","14287.837","12267.06","10521.3685","8948.015","7718.6565","6628.306","5615.9715","4679.6675","3785.3045","2995.9785","2266.9425","1592.1765","1004.2125","541.3155","235.7735","72.1565","14.9125","2.172","0.2295","Male"
