"","Year","Region","age_bracket","Male","Female"
"1",1950,"Central and Southern Asia","0-4",37350160,36002400.5
"2",1950,"Central and Southern Asia","10-14",27608786.5,26618357.5
"3",1950,"Central and Southern Asia","100+",149.5,391
"4",1950,"Central and Southern Asia","15-19",25063751.5,23786106.5
"5",1950,"Central and Southern Asia","20-24",22807132.5,20988391.5
"6",1950,"Central and Southern Asia","25-29",19890063.5,18217174
"7",1950,"Central and Southern Asia","30-34",17350707.5,15801558
"8",1950,"Central and Southern Asia","35-39",15184552,13889747.5
"9",1950,"Central and Southern Asia","40-44",13318605.5,12087604
"10",1950,"Central and Southern Asia","45-49",11006211.5,9845057.5
"11",1950,"Central and Southern Asia","5-9",29460662,28263601.5
"12",1950,"Central and Southern Asia","50-54",9162767.5,8454754
"13",1950,"Central and Southern Asia","55-59",6686875.5,6054081
"14",1950,"Central and Southern Asia","60-64",5494770,5276465
"15",1950,"Central and Southern Asia","65-69",3363629,3191733.5
"16",1950,"Central and Southern Asia","70-74",2480926.5,2391476.5
"17",1950,"Central and Southern Asia","75-79",1392216,1398933.5
"18",1950,"Central and Southern Asia","80-84",596446,643314.5
"19",1950,"Central and Southern Asia","85-89",180863.5,226453
"20",1950,"Central and Southern Asia","90-94",37022,56702
"21",1950,"Central and Southern Asia","95-99",6430,12395
"22",1950,"Eastern Asia","0-4",49946124,46634596
"23",1950,"Eastern Asia","10-14",36244621,32312401.5
"24",1950,"Eastern Asia","100+",178.5,594
"25",1950,"Eastern Asia","15-19",34003792,31255038.5
"26",1950,"Eastern Asia","20-24",29720556.5,27818740
"27",1950,"Eastern Asia","25-29",26011326.5,25144324.5
"28",1950,"Eastern Asia","30-34",22670216.5,22251628.5
"29",1950,"Eastern Asia","35-39",21150399.5,20335372
"30",1950,"Eastern Asia","40-44",18967493,18592053.5
"31",1950,"Eastern Asia","45-49",16897751,16473492.5
"32",1950,"Eastern Asia","5-9",37751871.5,34348970
"33",1950,"Eastern Asia","50-54",13948212.5,13480244.5
"34",1950,"Eastern Asia","55-59",11851858.5,11902560.5
"35",1950,"Eastern Asia","60-64",9416416,10020897
"36",1950,"Eastern Asia","65-69",6608879,7909595.5
"37",1950,"Eastern Asia","70-74",3796669,5172617.5
"38",1950,"Eastern Asia","75-79",2179260,3274000
"39",1950,"Eastern Asia","80-84",967166.5,1691739.5
"40",1950,"Eastern Asia","85-89",302971.5,647763
"41",1950,"Eastern Asia","90-94",55113,138504.5
"42",1950,"Eastern Asia","95-99",4879.5,14016
"43",1950,"Europe","0-4",26716002,25768888
"44",1950,"Europe","10-14",25744181.5,25445346.5
"45",1950,"Europe","100+",1258,3622.5
"46",1950,"Europe","15-19",23414136.5,23587766.5
"47",1950,"Europe","20-24",24183753,25546414.5
"48",1950,"Europe","25-29",19339316.5,23405855.5
"49",1950,"Europe","30-34",14072389.5,17284421.5
"50",1950,"Europe","35-39",17820271,22278882.5
"51",1950,"Europe","40-44",17660035,21177164
"52",1950,"Europe","45-49",15785909.5,19332716
"53",1950,"Europe","5-9",21407994,21000384.5
"54",1950,"Europe","50-54",12875805,16528045
"55",1950,"Europe","55-59",10344717,14022385.5
"56",1950,"Europe","60-64",8710716.5,12092183.5
"57",1950,"Europe","65-69",7026533,9846065
"58",1950,"Europe","70-74",5144144,7291515.5
"59",1950,"Europe","75-79",3163019.5,4759190
"60",1950,"Europe","80-84",1488218,2531117.5
"61",1950,"Europe","85-89",528513.5,1056990.5
"62",1950,"Europe","90-94",124078,294981.5
"63",1950,"Europe","95-99",16218,46328.5
"64",1950,"Latin America and the Caribbean","0-4",28252533,27612828
"65",1950,"Latin America and the Caribbean","10-14",19317613,18764242
"66",1950,"Latin America and the Caribbean","100+",1155,2543
"67",1950,"Latin America and the Caribbean","15-19",16884577,17176885
"68",1950,"Latin America and the Caribbean","20-24",15040984,15482717
"69",1950,"Latin America and the Caribbean","25-29",12862648,12959305
"70",1950,"Latin America and the Caribbean","30-34",10813933,10692007
"71",1950,"Latin America and the Caribbean","35-39",9671343,9503190
"72",1950,"Latin America and the Caribbean","40-44",8299107,7968418
"73",1950,"Latin America and the Caribbean","45-49",6944811,6588123
"74",1950,"Latin America and the Caribbean","5-9",22428257,21707626
"75",1950,"Latin America and the Caribbean","50-54",5508345,5294448
"76",1950,"Latin America and the Caribbean","55-59",4228110,4128732
"77",1950,"Latin America and the Caribbean","60-64",3294149,3305139
"78",1950,"Latin America and the Caribbean","65-69",2222643,2327824
"79",1950,"Latin America and the Caribbean","70-74",1413754,1588572
"80",1950,"Latin America and the Caribbean","75-79",829565,974255
"81",1950,"Latin America and the Caribbean","80-84",406266,536138
"82",1950,"Latin America and the Caribbean","85-89",158387,226812
"83",1950,"Latin America and the Caribbean","90-94",45120,73779
"84",1950,"Latin America and the Caribbean","95-99",9377,18055
"85",1950,"Northern Africa and Western Asia","0-4",8351205,7969659.5
"86",1950,"Northern Africa and Western Asia","10-14",5702543.5,5473980
"87",1950,"Northern Africa and Western Asia","100+",173,784
"88",1950,"Northern Africa and Western Asia","15-19",5262234,5024698.5
"89",1950,"Northern Africa and Western Asia","20-24",4609704,4470011
"90",1950,"Northern Africa and Western Asia","25-29",3780670.5,3740826.5
"91",1950,"Northern Africa and Western Asia","30-34",3113889,3114872
"92",1950,"Northern Africa and Western Asia","35-39",2750922,2774116
"93",1950,"Northern Africa and Western Asia","40-44",2469160.5,2503403.5
"94",1950,"Northern Africa and Western Asia","45-49",2102765.5,2173492
"95",1950,"Northern Africa and Western Asia","5-9",6087415,5901852
"96",1950,"Northern Africa and Western Asia","50-54",1750127,1840512
"97",1950,"Northern Africa and Western Asia","55-59",1381677.5,1482234.5
"98",1950,"Northern Africa and Western Asia","60-64",1056547.5,1177263
"99",1950,"Northern Africa and Western Asia","65-69",782893,890704
"100",1950,"Northern Africa and Western Asia","70-74",526508,631851.5
"101",1950,"Northern Africa and Western Asia","75-79",290173,355330.5
"102",1950,"Northern Africa and Western Asia","80-84",131218.5,168694
"103",1950,"Northern Africa and Western Asia","85-89",48287,69535.5
"104",1950,"Northern Africa and Western Asia","90-94",13554.5,24418
"105",1950,"Northern Africa and Western Asia","95-99",2053,5211.5
"106",1950,"Northern America","0-4",9596712,9242111
"107",1950,"Northern America","10-14",6334063,6141097
"108",1950,"Northern America","100+",1319.5,2867.5
"109",1950,"Northern America","15-19",5998144.5,5930262
"110",1950,"Northern America","20-24",6342524.5,6537881
"111",1950,"Northern America","25-29",6676903,6930889
"112",1950,"Northern America","30-34",6393632.5,6582776
"113",1950,"Northern America","35-39",6116418.5,6244641.5
"114",1950,"Northern America","40-44",5618059,5660861.5
"115",1950,"Northern America","45-49",4939248,4963305.5
"116",1950,"Northern America","5-9",7566691,7323254
"117",1950,"Northern America","50-54",4464841,4514320.5
"118",1950,"Northern America","55-59",3917537.5,3945548.5
"119",1950,"Northern America","60-64",3314930,3355514.5
"120",1950,"Northern America","65-69",2605463,2741156
"121",1950,"Northern America","70-74",1769265,1955236
"122",1950,"Northern America","75-79",1095885,1269196
"123",1950,"Northern America","80-84",552908,686798.5
"124",1950,"Northern America","85-89",210931,290532
"125",1950,"Northern America","90-94",56344,89879.5
"126",1950,"Northern America","95-99",10317.5,19073
"127",1950,"Oceania","0-4",791501.5,746813
"128",1950,"Oceania","10-14",528507.5,502223.5
"129",1950,"Oceania","100+",25,68.5
"130",1950,"Oceania","15-19",498660.5,466939
"131",1950,"Oceania","20-24",539071,497796.5
"132",1950,"Oceania","25-29",535180,503033.5
"133",1950,"Oceania","30-34",476903.5,456342
"134",1950,"Oceania","35-39",463831.5,435196
"135",1950,"Oceania","40-44",409411,369340.5
"136",1950,"Oceania","45-49",349085.5,316800.5
"137",1950,"Oceania","5-9",623277.5,589213
"138",1950,"Oceania","50-54",293920.5,289840
"139",1950,"Oceania","55-59",260879,268960.5
"140",1950,"Oceania","60-64",231519.5,235445.5
"141",1950,"Oceania","65-69",175152,185499.5
"142",1950,"Oceania","70-74",119533,135397
"143",1950,"Oceania","75-79",71914,84503
"144",1950,"Oceania","80-84",38386.5,49359
"145",1950,"Oceania","85-89",13828.5,19692
"146",1950,"Oceania","90-94",3014.5,4899.5
"147",1950,"Oceania","95-99",385,695
"148",1950,"South-Eastern Asia","0-4",12905855.5,12751852
"149",1950,"South-Eastern Asia","10-14",9702034,9839004
"150",1950,"South-Eastern Asia","100+",186.5,791
"151",1950,"South-Eastern Asia","15-19",8773096.5,8859544.5
"152",1950,"South-Eastern Asia","20-24",7594565,7529645.5
"153",1950,"South-Eastern Asia","25-29",6404029.5,6276100.5
"154",1950,"South-Eastern Asia","30-34",5515903.5,5412469.5
"155",1950,"South-Eastern Asia","35-39",4959130.5,4817210
"156",1950,"South-Eastern Asia","40-44",4203157.5,4128148.5
"157",1950,"South-Eastern Asia","45-49",3509827.5,3430672.5
"158",1950,"South-Eastern Asia","5-9",10348435,10496399
"159",1950,"South-Eastern Asia","50-54",2672328,2715321.5
"160",1950,"South-Eastern Asia","55-59",1944117,2083871
"161",1950,"South-Eastern Asia","60-64",1407223,1586101.5
"162",1950,"South-Eastern Asia","65-69",953999.5,1109693
"163",1950,"South-Eastern Asia","70-74",613620,725604
"164",1950,"South-Eastern Asia","75-79",354984.5,426028.5
"165",1950,"South-Eastern Asia","80-84",154466.5,187141.5
"166",1950,"South-Eastern Asia","85-89",53320,74046
"167",1950,"South-Eastern Asia","90-94",8309,16189
"168",1950,"South-Eastern Asia","95-99",1309.5,3541
"169",1950,"Sub-Saharan Africa","0-4",15428445.5,15218092.5
"170",1950,"Sub-Saharan Africa","10-14",10128731.5,10172510
"171",1950,"Sub-Saharan Africa","100+",165.5,170
"172",1950,"Sub-Saharan Africa","15-19",8907588.5,8953385.5
"173",1950,"Sub-Saharan Africa","20-24",7798982.5,7819610
"174",1950,"Sub-Saharan Africa","25-29",6759164.5,6761262
"175",1950,"Sub-Saharan Africa","30-34",5833907.5,5811553.5
"176",1950,"Sub-Saharan Africa","35-39",4938037,4918985.5
"177",1950,"Sub-Saharan Africa","40-44",4135461.5,4145291
"178",1950,"Sub-Saharan Africa","45-49",3384539.5,3473531
"179",1950,"Sub-Saharan Africa","5-9",11826489,11775535
"180",1950,"Sub-Saharan Africa","50-54",2704683,2903928.5
"181",1950,"Sub-Saharan Africa","55-59",2127425,2357094
"182",1950,"Sub-Saharan Africa","60-64",1632336.5,1861884.5
"183",1950,"Sub-Saharan Africa","65-69",1204428,1406423
"184",1950,"Sub-Saharan Africa","70-74",796376,950492
"185",1950,"Sub-Saharan Africa","75-79",436835.5,552572
"186",1950,"Sub-Saharan Africa","80-84",194188,246741
"187",1950,"Sub-Saharan Africa","85-89",58015,74745.5
"188",1950,"Sub-Saharan Africa","90-94",12294.5,15383
"189",1950,"Sub-Saharan Africa","95-99",1777,2001.5
"190",1951,"Central and Southern Asia","0-4",38927137.5,37365745.5
"191",1951,"Central and Southern Asia","10-14",27883939.5,26843896.5
"192",1951,"Central and Southern Asia","100+",339,735
"193",1951,"Central and Southern Asia","15-19",25459875.5,24242404.5
"194",1951,"Central and Southern Asia","20-24",23188318.5,21414911.5
"195",1951,"Central and Southern Asia","25-29",20343838,18615407.5
"196",1951,"Central and Southern Asia","30-34",17705503.5,16103572.5
"197",1951,"Central and Southern Asia","35-39",15446212,14106742
"198",1951,"Central and Southern Asia","40-44",13576555,12353132.5
"199",1951,"Central and Southern Asia","45-49",11272819.5,10098475.5
"200",1951,"Central and Southern Asia","5-9",29994747,28759000
"201",1951,"Central and Southern Asia","50-54",9405380,8663698
"202",1951,"Central and Southern Asia","55-59",6905759,6265123.5
"203",1951,"Central and Southern Asia","60-64",5577601.5,5331287
"204",1951,"Central and Southern Asia","65-69",3524192,3372152.5
"205",1951,"Central and Southern Asia","70-74",2440449.5,2352311
"206",1951,"Central and Southern Asia","75-79",1415854,1414983
"207",1951,"Central and Southern Asia","80-84",603751.5,644010.5
"208",1951,"Central and Southern Asia","85-89",182652.5,222852
"209",1951,"Central and Southern Asia","90-94",35311.5,53845.5
"210",1951,"Central and Southern Asia","95-99",5297,10213.5
"211",1951,"Eastern Asia","0-4",52459936.5,49333915.5
"212",1951,"Eastern Asia","10-14",36357088.5,32358636
"213",1951,"Eastern Asia","100+",200,668.5
"214",1951,"Eastern Asia","15-19",34586254.5,31766587.5
"215",1951,"Eastern Asia","20-24",30236331,28264698
"216",1951,"Eastern Asia","25-29",26463492,25493835
"217",1951,"Eastern Asia","30-34",22857978,22531253
"218",1951,"Eastern Asia","35-39",21373870,20675862.5
"219",1951,"Eastern Asia","40-44",19001805.5,18658519.5
"220",1951,"Eastern Asia","45-49",17043272,16759866
"221",1951,"Eastern Asia","5-9",38227080.5,34964253.5
"222",1951,"Eastern Asia","50-54",14044482.5,13713708
"223",1951,"Eastern Asia","55-59",11946664.5,12059457
"224",1951,"Eastern Asia","60-64",9330182,9980912.5
